ReefID,LABEL_ID,GBRMPAFeatureName,LAT,LON,GBRMP,Within250kmOfPort,Shallow,ShallowestDepth
1264,14-034,U/N Reef,-14.0662,144.7478,1,0,1,-0.619000018
1265,14-035,U/N Reef,-14.089,144.6671,1,0,1,-2.618000031
1266,14-036,Pipon Shoals,-14.0948,144.5353,1,0,1,-8.567000389
1267,14-037,Melanie Patches,-14.1014,144.577,1,0,1,-5.175000191
1268,14-104,Murdoch Reef,-14.6147,144.9355,1,0,1,0.01
1269,14-105,U/N Reef,-14.6373,144.9222,1,0,1,0.216999993
1270,14-106,Rocky Ledges,-14.6845,144.9526,1,0,1,0.201000005
1271,14-107a,U/N Reef,-14.7119,144.9937,1,0,NA,NA
1272,14-107b,U/N Reef,-14.7144,144.9865,1,0,NA,NA
1273,14-108,U/N Reef,-14.7185,144.9527,1,0,1,0.098999999
1274,14-109,Fly Reef,-14.5073,145.1585,1,0,1,-0.592000008
1275,14-110,Underwood Shoal,-14.5909,145.4662,1,0,0,-10.72500038
1276,14-111,Covered Reef,-14.6603,145.1781,1,0,NA,NA
1277,14-112,Stewart Shoal,-14.6145,145.4683,1,0,0,-19.03100014
1278,15-018,Pasco Reef,-15.0446,145.5329,1,1,1,-0.913999975
1279,15-019,Long Reef,-15.0509,145.57,1,1,1,-0.856000006
1280,15-020,Strickland Reef,-15.0734,145.5175,1,1,1,-4.210000038
1281,15-021a,Ribbon No 8 Reef,-15.0728,145.7237,1,1,1,-0.002
1282,15-021b,U/N Reef,-15.0748,145.7052,1,1,1,-4.714000225
1283,15-022,U/N Reef,-15.098,145.6364,1,1,1,-1.055999994
1284,15-023,U/N Reef,-15.0944,145.6702,1,1,1,-1.103000045
1285,13-087,Magpie Reef,-13.7596,143.8379,1,0,1,0.822000027
1286,13-088,Lytton Reef,-13.7432,143.9058,1,0,1,-0.579999983
1287,13-089,U/N Reef,-13.7563,143.9477,1,0,1,-0.958000004
1288,13-091,Wilkie Reef,-13.7715,143.6402,1,0,1,0.206
1289,14-038,Pipon Reef,-14.1205,144.5239,1,0,1,0.250999987
1290,14-039,North Warden Reef,-14.1675,144.6464,1,0,1,-0.834999979
1291,14-040,Singleton Patch,-14.1598,144.6007,1,0,NA,NA
1292,14-113,Petricola Shoal,-14.6333,145.4803,1,0,0,-16.99699974
1293,14-114,MacGillivray Reef,-14.652,145.4911,1,0,1,-0.414999992
1294,14-115,Nymph Reef,-14.655,145.2521,1,0,1,0.071999997
1295,15-024,Mackay Reefs,-15.1389,145.5713,1,1,1,-1.019999981
1296,15-025,Harrier Reef,-15.1367,145.697,1,1,1,-0.155000001
1297,15-026,Ribbon No 7 Reef,-15.1893,145.7384,1,1,1,0.001
1298,15-027,Marx Reef,-15.1978,145.6212,1,1,1,-0.954999983
1299,13-092,U/N Reef,-13.7716,143.5442,1,0,1,0.882000029
1300,13-093a,U/N Reef,-13.8289,143.9301,1,0,1,-1.526000023
1301,13-093b,U/N Reef,-13.7609,143.9617,1,0,1,-0.916000009
1302,13-093c,U/N Reef,-13.7684,143.9794,1,0,1,-1.103000045
1303,13-095,Sullivan Shoal,-13.8464,143.6871,1,0,1,-8.022000313
1304,13-096,Ballerina Shoal,-13.8446,143.778,1,0,NA,NA
1305,14-042a,Flinders Island Reef (No 1),-14.1737,144.2789,1,0,1,-0.048
1306,14-042b,Flinders Island Reef (No 2),-14.1946,144.2551,1,0,1,-0.172999993
1307,14-042c,Flinders Island Reef (No 3),-14.1705,144.2442,1,0,1,-0.066
1308,14-043,U/N Reef,-14.1778,144.7997,1,0,1,-1.014000058
1309,14-044,Hales Reef,-14.1837,144.5382,1,0,1,-0.389999986
1310,14-045,Sand Bank No 1 Reef,-14.2004,144.8919,1,0,1,-0.191
1311,14-046,U/N Reef,-14.205,144.8526,1,0,NA,NA
1312,14-116a,Lizard Island Reef (North West),-14.6586,145.4469,1,0,1,-0.169
1313,14-116b,Lizard Island Reef (North East),-14.655,145.4661,1,0,1,-0.264999986
1314,14-116d,Lizard Island Reef (Lagoon),-14.6853,145.4481,1,1,1,-0.018999999
1315,15-028,Startle Reefs,-15.2074,145.5565,1,1,1,-0.703000009
1316,15-029,Camel Head Reef,-15.2411,145.7225,1,1,1,-0.032000002
1317,15-030,Swinger Reef,-15.2423,145.5371,1,1,1,-0.522000015
1318,15-031,Pullen Reefs,-15.2507,145.5872,1,1,1,-1.511999965
1319,15-032,Ribbon No 6 Reef,-15.2809,145.7519,1,1,1,-0.001
1320,13-097,Hannah Island Reef,-13.8655,143.7177,1,0,1,1.08099997
1321,13-100,U/N Reef,-13.8666,143.937,1,0,1,-1.376999974
1322,13-101a,Rattlesnake Reefs (No 1),-13.8737,143.6383,1,0,1,-1.156000018
1323,13-101b,Rattlesnake Reefs (No 2),-13.882,143.6444,1,0,1,-0.744000018
1324,13-101c,Rattlesnake Reefs (No 3),-13.9009,143.6557,1,0,1,-2.023000002
1325,13-102,U/N Reef,-13.8853,143.602,1,0,1,0.871999979
1326,13-104,Kestrel Reef,-13.9042,143.8925,1,0,1,-0.828000009
1327,13-105,U/N Reef,-13.9161,143.6787,1,0,NA,NA
1328,14-047,U/N Reef,-14.2122,144.9283,1,0,1,-0.233999997
1329,14-048,Broomfield Rock Reef,-14.2037,144.6701,1,0,1,-1.97300005
1330,14-049,U/N Reef,-14.2264,144.9584,1,0,1,-1
1331,14-050,Rocky Point Island Reef,-14.2325,144.5767,1,0,1,-0.097999997
1332,14-116c,Lizard Island Reef (Coconut Bay),-14.6811,145.4723,1,0,1,0.021
1333,14-117,Gunga Shoal,-14.6689,145.2,1,0,NA,NA
1334,20-058a,Dent Reef (No 1),-20.3482,148.9359,1,1,1,0.509000003
1335,20-058b,Dent Reef (No 2),-20.3497,148.9273,1,1,1,-0.071000002
1336,20-059,U/N Reef,-20.3717,148.9627,1,1,1,-0.515999973
1337,20-060a,Long Island Reef (No 1),-20.329,148.8484,1,1,1,-0.002
1338,20-078d,Haslewood Island Reef (No 4),-20.3006,149.0823,1,1,1,0.643000007
1339,20-078e,Haslewood Island Reef (No 5),-20.2802,149.099,1,1,1,0.805000007
1340,20-041l,Whitsunday Island Reef (No 11),-20.2982,148.9295,1,1,1,0.138999999
1341,20-041m,Whitsunday Island Reef (No 12),-20.2905,148.9209,1,1,1,0.268000007
1342,20-060b,Long Island Reef (No 2),-20.3433,148.8471,1,1,1,0.230000004
1343,20-060c,Long Island Reef (No 3),-20.3632,148.8481,1,1,1,-0.048
1344,20-078f,Lupton Reef,-20.2761,149.1121,1,1,1,0.041999999
1345,20-078g,Cashell Reef,-20.2636,149.1054,1,1,1,0.64200002
1346,20-017,Black Island Reef,-20.0811,148.8927,1,1,1,-0.114
1347,20-018,Double Rock Reef,-20.0719,148.975,1,1,1,-6.050000191
1348,20-019,Langford-Bird Reef,-20.0885,148.8777,1,1,1,0.224000007
1349,20-041n,Whitsunday Island Reef (No 13),-20.2779,148.9249,1,1,1,-0.005
1350,20-041p,Whitsunday Island Reef (No 15),-20.2244,148.9454,1,1,1,0.351999998
1351,20-060d,Long Island Reef (No 4),-20.3742,148.851,1,1,1,-0.196999997
1352,20-060e,Long Island Reef (No 5),-20.3913,148.8615,1,1,1,0.356999993
1353,20-060f,Long Island Reef (No 6),-20.3524,148.8584,1,1,1,0.237000003
